Canadian Heritage,National Battlefields Commission,Personnel,4140000
Canadian Heritage,National Battlefields Commission,Transportation and Communications,127000
Canadian Heritage,National Battlefields Commission,Information,328000
Canadian Heritage,National Battlefields Commission,Professional and Special Services,798000
Canadian Heritage,National Battlefields Commission,Rentals,75000
Canadian Heritage,National Battlefields Commission,Repair and Maintenance,517000
Canadian Heritage,National Battlefields Commission,Utilities, Materials and Supplies,789000
Canadian Heritage,National Battlefields Commission,Acquisition of Land, Buildings and Works,143000
Canadian Heritage,National Battlefields Commission,Acquistion of Machinery and Equipment,471000
Canadian Heritage,National Film Board,Personnel,41784000
Canadian Heritage,National Film Board,Transportation and Communications,3242000
Canadian Heritage,National Film Board,Information,1316000
Canadian Heritage,National Film Board,Professional and Special Services,12294000
Canadian Heritage,National Film Board,Rentals,8657000
Canadian Heritage,National Film Board,Repair and Maintenance,1236000
Canadian Heritage,National Film Board,Utilities, Materials and Supplies,879000
Canadian Heritage,National Film Board,Acquistion of Machinery and Equipment,2707000
Canadian Heritage,National Film Board,Transfer Payments,192000
Canadian Heritage,Public Service Commission,Personnel,91246000
Canadian Heritage,Public Service Commission,Transportation and Communications,655000
Canadian Heritage,Public Service Commission,Information,234000
Canadian Heritage,Public Service Commission,Professional and Special Services,8878000
Canadian Heritage,Public Service Commission,Rentals,1969000
Canadian Heritage,Public Service Commission,Repair and Maintenance,102000
Canadian Heritage,Public Service Commission,Utilities, Materials and Supplies,336000
Canadian Heritage,Public Service Commission,Acquistion of Machinery and Equipment,427000
Canadian Heritage,Public Service Labour Relations Board,Personnel,9117000
Canadian Heritage,Public Service Labour Relations Board,Transportation and Communications,600000
Canadian Heritage,Public Service Labour Relations Board,Information,83000
Canadian Heritage,Public Service Labour Relations Board,Professional and Special Services,2777000
Canadian Heritage,Public Service Labour Relations Board,Rentals,561000
Canadian Heritage,Public Service Labour Relations Board,Repair and Maintenance,31000
Canadian Heritage,Public Service Labour Relations Board,Utilities, Materials and Supplies,134000
Canadian Heritage,Public Service Labour Relations Board,Acquistion of Machinery and Equipment,475000
Canadian Heritage,Public Service Staffing Tribunal,Personnel,4156000
Canadian Heritage,Public Service Staffing Tribunal,Transportation and Communications,144000
Canadian Heritage,Public Service Staffing Tribunal,Information,43000
Canadian Heritage,Public Service Staffing Tribunal,Professional and Special Services,568000
Canadian Heritage,Public Service Staffing Tribunal,Rentals,179000
